	平均点,	　数学　,	　理科　,	　社会　,	　国語　,	　英語　
		50.973 ,	50.831 ,	50.897 ,	51.035 ,	50.155

	順位,	番号,	数学,	理科,	社会,	国語,	英語,	総合
	7859 ,	19329 ,	18 ,	35 ,	75 ,	58 ,	85 ,	271
	7859 ,	8613 ,	30 ,	89 ,	69 ,	10 ,	73 ,	271
	7859 ,	16358 ,	96 ,	8 ,	56 ,	63 ,	48 ,	271
	7859 ,	19219 ,	42 ,	87 ,	24 ,	63 ,	55 ,	271
	7859 ,	9468 ,	52 ,	59 ,	74 ,	16 ,	70 ,	271
	7859 ,	17164 ,	48 ,	67 ,	47 ,	36 ,	73 ,	271
	7859 ,	4635 ,	95 ,	82 ,	17 ,	7 ,	70 ,	271
	7859 ,	18341 ,	5 ,	46 ,	37 ,	99 ,	84 ,	271
	7859 ,	14310 ,	41 ,	80 ,	81 ,	32 ,	37 ,	271
	7859 ,	18253 ,	38 ,	61 ,	84 ,	78 ,	10 ,	271
	7859 ,	18210 ,	17 ,	71 ,	50 ,	79 ,	54 ,	271
	7859 ,	19032 ,	73 ,	100 ,	24 ,	29 ,	45 ,	271
	7859 ,	4441 ,	39 ,	15 ,	91 ,	83 ,	43 ,	271
	7859 ,	1242 ,	54 ,	100 ,	50 ,	25 ,	42 ,	271
	7859 ,	17515 ,	28 ,	66 ,	29 ,	53 ,	95 ,	271
	7859 ,	17637 ,	46 ,	66 ,	81 ,	32 ,	46 ,	271
	7859 ,	2198 ,	100 ,	17 ,	79 ,	57 ,	18 ,	271
	7859 ,	17584 ,	48 ,	88 ,	31 ,	52 ,	52 ,	271
	7859 ,	8744 ,	42 ,	37 ,	90 ,	24 ,	78 ,	271
	7859 ,	4506 ,	100 ,	49 ,	70 ,	3 ,	49 ,	271
	7859 ,	18721 ,	55 ,	73 ,	54 ,	42 ,	47 ,	271
	7859 ,	7781 ,	88 ,	21 ,	31 ,	77 ,	54 ,	271
	7859 ,	8331 ,	83 ,	53 ,	40 ,	67 ,	28 ,	271
	7859 ,	16546 ,	86 ,	32 ,	55 ,	24 ,	74 ,	271
	7859 ,	16537 ,	26 ,	65 ,	38 ,	76 ,	66 ,	271
	7859 ,	1025 ,	50 ,	65 ,	53 ,	49 ,	54 ,	271
	7977 ,	8086 ,	67 ,	71 ,	24 ,	34 ,	74 ,	270
	7977 ,	14714 ,	46 ,	60 ,	43 ,	26 ,	95 ,	270
	7977 ,	16040 ,	46 ,	15 ,	72 ,	41 ,	96 ,	270
	7977 ,	8017 ,	42 ,	97 ,	93 ,	6 ,	32 ,	270
	7977 ,	4226 ,	83 ,	40 ,	39 ,	70 ,	38 ,	270
	7977 ,	3929 ,	51 ,	70 ,	84 ,	14 ,	51 ,	270
	7977 ,	9818 ,	82 ,	62 ,	27 ,	19 ,	80 ,	270
	7977 ,	15499 ,	60 ,	99 ,	51 ,	47 ,	13 ,	270
	7977 ,	7731 ,	90 ,	93 ,	59 ,	24 ,	4 ,	270
	7977 ,	15201 ,	27 ,	59 ,	96 ,	60 ,	28 ,	270
	7977 ,	4812 ,	60 ,	26 ,	36 ,	62 ,	86 ,	270
	7977 ,	7527 ,	3 ,	31 ,	80 ,	74 ,	82 ,	270
	7977 ,	15009 ,	90 ,	49 ,	17 ,	68 ,	46 ,	270
	7977 ,	12574 ,	40 ,	49 ,	28 ,	80 ,	73 ,	270
	7977 ,	3671 ,	86 ,	28 ,	73 ,	38 ,	45 ,	270
	7977 ,	14668 ,	48 ,	31 ,	77 ,	80 ,	34 ,	270
	7977 ,	14651 ,	22 ,	21 ,	99 ,	50 ,	78 ,	270
	7977 ,	14584 ,	49 ,	0 ,	38 ,	86 ,	97 ,	270
	7977 ,	15388 ,	31 ,	7 ,	95 ,	48 ,	89 ,	270
	7977 ,	14303 ,	87 ,	60 ,	11 ,	42 ,	70 ,	270
	7977 ,	1770 ,	45 ,	72 ,	45 ,	58 ,	50 ,	270
	7977 ,	14072 ,	83 ,	72 ,	49 ,	48 ,	18 ,	270
	7977 ,	6292 ,	62 ,	40 ,	71 ,	88 ,	9 ,	270
	7977 ,	14028 ,	23 ,	40 ,	99 ,	53 ,	55 ,	270
	7977 ,	13967 ,	36 ,	100 ,	78 ,	45 ,	11 ,	270
	7977 ,	13779 ,	35 ,	5 ,	93 ,	59 ,	78 ,	270
	7977 ,	3440 ,	36 ,	46 ,	72 ,	56 ,	60 ,	270
	7977 ,	17150 ,	53 ,	40 ,	67 ,	77 ,	33 ,	270
	7977 ,	5639 ,	67 ,	45 ,	73 ,	49 ,	36 ,	270
	7977 ,	6796 ,	90 ,	32 ,	78 ,	52 ,	18 ,	270
	7977 ,	13522 ,	38 ,	85 ,	46 ,	60 ,	41 ,	270
	7977 ,	4988 ,	64 ,	66 ,	18 ,	81 ,	41 ,	270
	7977 ,	13435 ,	11 ,	60 ,	69 ,	65 ,	65 ,	270
	7977 ,	16850 ,	92 ,	23 ,	69 ,	45 ,	41 ,	270
	7977 ,	13322 ,	94 ,	74 ,	43 ,	52 ,	7 ,	270
	7977 ,	6657 ,	86 ,	42 ,	28 ,	66 ,	48 ,	270
	7977 ,	18383 ,	99 ,	79 ,	4 ,	52 ,	36 ,	270
	7977 ,	6537 ,	46 ,	88 ,	47 ,	35 ,	54 ,	270
	7977 ,	9826 ,	63 ,	38 ,	80 ,	14 ,	75 ,	270
	7977 ,	13009 ,	55 ,	52 ,	21 ,	62 ,	80 ,	270
	7977 ,	6501 ,	70 ,	49 ,	59 ,	54 ,	38 ,	270
	7977 ,	62 ,	39 ,	35 ,	93 ,	51 ,	52 ,	270
	7977 ,	12924 ,	49 ,	89 ,	87 ,	13 ,	32 ,	270
	7977 ,	9657 ,	78 ,	15 ,	44 ,	85 ,	48 ,	270
	7977 ,	12706 ,	94 ,	13 ,	60 ,	13 ,	90 ,	270
	7977 ,	6243 ,	81 ,	71 ,	39 ,	38 ,	41 ,	270
	7977 ,	19842 ,	80 ,	79 ,	100 ,	10 ,	1 ,	270
	7977 ,	12077 ,	30 ,	89 ,	31 ,	51 ,	69 ,	270
	7977 ,	12057 ,	88 ,	51 ,	29 ,	9 ,	93 ,	270
	7977 ,	11954 ,	48 ,	73 ,	67 ,	29 ,	53 ,	270
	7977 ,	18782 ,	78 ,	54 ,	23 ,	96 ,	19 ,	270
	7977 ,	11873 ,	87 ,	3 ,	94 ,	44 ,	42 ,	270
	7977 ,	5887 ,	7 ,	77 ,	78 ,	14 ,	94 ,	270
	7977 ,	5862 ,	82 ,	79 ,	66 ,	6 ,	37 ,	270
	7977 ,	11689 ,	61 ,	42 ,	26 ,	42 ,	99 ,	270
	7977 ,	11633 ,	78 ,	94 ,	26 ,	26 ,	46 ,	270
	7977 ,	11554 ,	65 ,	84 ,	64 ,	55 ,	2 ,	270
	7977 ,	2878 ,	77 ,	65 ,	4 ,	37 ,	87 ,	270
	7977 ,	11506 ,	46 ,	8 ,	85 ,	86 ,	45 ,	270
	7977 ,	3184 ,	43 ,	67 ,	67 ,	4 ,	89 ,	270
	7977 ,	5475 ,	85 ,	44 ,	44 ,	84 ,	13 ,	270
	7977 ,	4610 ,	70 ,	19 ,	44 ,	45 ,	92 ,	270
	7977 ,	8871 ,	44 ,	97 ,	4 ,	30 ,	95 ,	270
	7977 ,	2811 ,	65 ,	11 ,	58 ,	69 ,	67 ,	270
	7977 ,	11185 ,	45 ,	23 ,	88 ,	41 ,	73 ,	270
	7977 ,	11180 ,	78 ,	14 ,	60 ,	59 ,	59 ,	270
	7977 ,	11164 ,	69 ,	36 ,	67 ,	63 ,	35 ,	270
	7977 ,	5561 ,	82 ,	79 ,	12 ,	42 ,	55 ,	270
	7977 ,	16707 ,	40 ,	100 ,	51 ,	77 ,	2 ,	270
	7977 ,	11083 ,	24 ,	76 ,	74 ,	73 ,	23 ,	270
	7977 ,	6915 ,	49 ,	14 ,	99 ,	13 ,	95 ,	270
	7977 ,	10833 ,	55 ,	39 ,	38 ,	95 ,	43 ,	270
	7977 ,	2706 ,	4 ,	51 ,	97 ,	70 ,	48 ,	270
	7977 ,	2465 ,	65 ,	27 ,	64 ,	68 ,	46 ,	270
	7977 ,	10683 ,	71 ,	33 ,	50 ,	18 ,	98 ,	270
	7977 ,	4978 ,	73 ,	29 ,	81 ,	22 ,	65 ,	270
	7977 ,	5299 ,	81 ,	13 ,	23 ,	71 ,	82 ,	270
	7977 ,	10596 ,	56 ,	33 ,	98 ,	57 ,	26 ,	270
	7977 ,	10421 ,	5 ,	28 ,	88 ,	83 ,	66 ,	270
	7977 ,	5206 ,	73 ,	65 ,	8 ,	34 ,	90 ,	270
	7977 ,	5172 ,	83 ,	67 ,	33 ,	52 ,	35 ,	270
	7977 ,	3839 ,	64 ,	51 ,	41 ,	56 ,	58 ,	270
	7977 ,	10219 ,	27 ,	22 ,	44 ,	99 ,	78 ,	270
	7977 ,	10202 ,	89 ,	28 ,	36 ,	27 ,	90 ,	270
	7977 ,	9590 ,	92 ,	100 ,	11 ,	63 ,	4 ,	270
	7977 ,	302 ,	68 ,	96 ,	31 ,	22 ,	53 ,	270
	7977 ,	19868 ,	71 ,	50 ,	35 ,	96 ,	18 ,	270
	7977 ,	14293 ,	15 ,	8 ,	78 ,	94 ,	75 ,	270
	7977 ,	19745 ,	86 ,	7 ,	66 ,	51 ,	60 ,	270
	7977 ,	616 ,	24 ,	98 ,	92 ,	47 ,	9 ,	270
	7977 ,	4667 ,	15 ,	68 ,	27 ,	66 ,	94 ,	270
	7977 ,	9829 ,	57 ,	69 ,	84 ,	8 ,	52 ,	270
	7977 ,	9767 ,	27 ,	97 ,	7 ,	65 ,	74 ,	270
	7977 ,	17375 ,	65 ,	64 ,	52 ,	66 ,	23 ,	270
	7977 ,	4717 ,	96 ,	10 ,	72 ,	74 ,	18 ,	270
	7977 ,	9177 ,	76 ,	29 ,	49 ,	68 ,	48 ,	270
	7977 ,	16356 ,	82 ,	7 ,	71 ,	10 ,	100 ,	270
	7977 ,	18392 ,	98 ,	34 ,	66 ,	22 ,	50 ,	270
	7977 ,	18283 ,	86 ,	81 ,	48 ,	8 ,	47 ,	270
	7977 ,	4440 ,	65 ,	70 ,	17 ,	59 ,	59 ,	270
	7977 ,	17445 ,	76 ,	53 ,	12 ,	56 ,	73 ,	270
	7977 ,	19186 ,	86 ,	45 ,	20 ,	73 ,	46 ,	270
	7977 ,	17783 ,	51 ,	42 ,	86 ,	4 ,	87 ,	270
	7977 ,	17765 ,	9 ,	68 ,	85 ,	34 ,	74 ,	270
	7977 ,	4412 ,	60 ,	98 ,	28 ,	0 ,	84 ,	270
	7977 ,	8815 ,	34 ,	80 ,	24 ,	98 ,	34 ,	270
	7977 ,	8698 ,	24 ,	82 ,	49 ,	94 ,	21 ,	270
	7977 ,	16377 ,	93 ,	92 ,	67 ,	13 ,	5 ,	270
	7977 ,	17291 ,	95 ,	26 ,	62 ,	42 ,	45 ,	270
	7977 ,	9338 ,	91 ,	88 ,	28 ,	34 ,	29 ,	270
	7977 ,	8539 ,	51 ,	87 ,	51 ,	60 ,	21 ,	270
	7977 ,	4248 ,	66 ,	51 ,	45 ,	11 ,	97 ,	270
	7977 ,	2124 ,	49 ,	70 ,	16 ,	97 ,	38 ,	270
	7977 ,	13661 ,	93 ,	7 ,	18 ,	83 ,	69 ,	270
	8091 ,	16360 ,	4 ,	54 ,	92 ,	19 ,	100 ,	269
	8091 ,	16338 ,	86 ,	22 ,	10 ,	98 ,	53 ,	269
	8091 ,	16077 ,	3 ,	98 ,	9 ,	81 ,	78 ,	269
	8091 ,	7995 ,	97 ,	8 ,	96 ,	12 ,	56 ,	269
	8091 ,	900 ,	16 ,	69 ,	46 ,	59 ,	79 ,	269
	8091 ,	2174 ,	55 ,	43 ,	55 ,	29 ,	87 ,	269
	8091 ,	963 ,	30 ,	83 ,	95 ,	47 ,	14 ,	269
	8091 ,	8660 ,	6 ,	100 ,	3 ,	88 ,	72 ,	269
	8091 ,	7637 ,	52 ,	66 ,	63 ,	58 ,	30 ,	269
	8091 ,	476 ,	80 ,	3 ,	55 ,	51 ,	80 ,	269
	8091 ,	7619 ,	72 ,	57 ,	44 ,	75 ,	21 ,	269
	8091 ,	3808 ,	75 ,	23 ,	84 ,	51 ,	36 ,	269
	8091 ,	239 ,	19 ,	48 ,	93 ,	84 ,	25 ,	269
	8091 ,	14134 ,	40 ,	50 ,	34 ,	89 ,	56 ,	269
	8091 ,	14795 ,	53 ,	87 ,	47 ,	0 ,	82 ,	269
	8091 ,	14661 ,	42 ,	86 ,	19 ,	84 ,	38 ,	269
	8091 ,	8 ,	86 ,	23 ,	39 ,	69 ,	52 ,	269
	8091 ,	14628 ,	92 ,	7 ,	43 ,	56 ,	71 ,	269
	8091 ,	1814 ,	25 ,	82 ,	21 ,	74 ,	67 ,	269
	8091 ,	3624 ,	95 ,	55 ,	24 ,	12 ,	83 ,	269
	8091 ,	14368 ,	87 ,	57 ,	33 ,	11 ,	81 ,	269
	8091 ,	9886 ,	61 ,	85 ,	32 ,	54 ,	37 ,	269
	8091 ,	14269 ,	60 ,	66 ,	51 ,	61 ,	31 ,	269
	8091 ,	14249 ,	56 ,	86 ,	78 ,	22 ,	27 ,	269
	8091 ,	14209 ,	73 ,	31 ,	20 ,	62 ,	83 ,	269
	8091 ,	14082 ,	55 ,	40 ,	70 ,	25 ,	79 ,	269
	8091 ,	7029 ,	97 ,	75 ,	33 ,	24 ,	40 ,	269
	8091 ,	2019 ,	50 ,	38 ,	74 ,	61 ,	46 ,	269
	8091 ,	17673 ,	81 ,	58 ,	28 ,	54 ,	48 ,	269
	8091 ,	3484 ,	42 ,	75 ,	77 ,	49 ,	26 ,	269
	8091 ,	19160 ,	4 ,	77 ,	53 ,	87 ,	48 ,	269
	8091 ,	13933 ,	53 ,	39 ,	80 ,	37 ,	60 ,	269
	8091 ,	3443 ,	31 ,	99 ,	72 ,	59 ,	8 ,	269
	8091 ,	428 ,	58 ,	46 ,	9 ,	74 ,	82 ,	269
	8091 ,	13640 ,	80 ,	93 ,	5 ,	3 ,	88 ,	269
	8091 ,	13614 ,	48 ,	54 ,	86 ,	30 ,	51 ,	269
	8091 ,	13610 ,	42 ,	86 ,	29 ,	46 ,	66 ,	269
	8091 ,	846 ,	70 ,	64 ,	85 ,	33 ,	17 ,	269
	8091 ,	6743 ,	63 ,	25 ,	21 ,	82 ,	78 ,	269
	8091 ,	13340 ,	9 ,	57 ,	82 ,	95 ,	26 ,	269
	8091 ,	1660 ,	47 ,	47 ,	93 ,	51 ,	31 ,	269
	8091 ,	3277 ,	94 ,	41 ,	80 ,	42 ,	12 ,	269
	8091 ,	10926 ,	77 ,	53 ,	9 ,	51 ,	79 ,	269
	8091 ,	13055 ,	100 ,	47 ,	26 ,	23 ,	73 ,	269
	8091 ,	12987 ,	83 ,	55 ,	59 ,	8 ,	64 ,	269
	8091 ,	6440 ,	94 ,	47 ,	67 ,	45 ,	16 ,	269
	8091 ,	6392 ,	62 ,	51 ,	22 ,	92 ,	42 ,	269
	8091 ,	12750 ,	6 ,	65 ,	56 ,	93 ,	49 ,	269
	8091 ,	8704 ,	30 ,	17 ,	54 ,	71 ,	97 ,	269
	8091 ,	12513 ,	89 ,	19 ,	60 ,	96 ,	5 ,	269
	8091 ,	3114 ,	10 ,	51 ,	19 ,	94 ,	95 ,	269
	8091 ,	17677 ,	6 ,	55 ,	60 ,	59 ,	89 ,	269
	8091 ,	3145 ,	21 ,	42 ,	42 ,	86 ,	78 ,	269
	8091 ,	4059 ,	34 ,	6 ,	74 ,	65 ,	90 ,	269
	8091 ,	6163 ,	22 ,	90 ,	30 ,	88 ,	39 ,	269
	8091 ,	12204 ,	72 ,	53 ,	63 ,	27 ,	54 ,	269
	8091 ,	12039 ,	30 ,	96 ,	24 ,	81 ,	38 ,	269
	8091 ,	5994 ,	90 ,	33 ,	17 ,	29 ,	100 ,	269
	8091 ,	17740 ,	65 ,	72 ,	71 ,	23 ,	38 ,	269
	8091 ,	11854 ,	79 ,	69 ,	7 ,	96 ,	18 ,	269
	8091 ,	11839 ,	87 ,	22 ,	52 ,	22 ,	86 ,	269
	8091 ,	11831 ,	51 ,	64 ,	31 ,	51 ,	72 ,	269
	8091 ,	5893 ,	45 ,	73 ,	66 ,	4 ,	81 ,	269
	8091 ,	16648 ,	54 ,	95 ,	6 ,	75 ,	39 ,	269
	8091 ,	11581 ,	43 ,	71 ,	43 ,	92 ,	20 ,	269
	8091 ,	11524 ,	11 ,	62 ,	8 ,	91 ,	97 ,	269
	8091 ,	15839 ,	100 ,	29 ,	27 ,	20 ,	93 ,	269
	8091 ,	11515 ,	43 ,	78 ,	66 ,	0 ,	82 ,	269
	8091 ,	5755 ,	80 ,	47 ,	18 ,	46 ,	78 ,	269
	8091 ,	1433 ,	72 ,	82 ,	55 ,	10 ,	50 ,	269
	8091 ,	11445 ,	41 ,	20 ,	79 ,	96 ,	33 ,	269
	8091 ,	11403 ,	78 ,	65 ,	51 ,	64 ,	11 ,	269
	8091 ,	11363 ,	86 ,	88 ,	34 ,	22 ,	39 ,	269
	8091 ,	2807 ,	85 ,	49 ,	51 ,	42 ,	42 ,	269
	8091 ,	10987 ,	17 ,	48 ,	100 ,	78 ,	26 ,	269
	8091 ,	8960 ,	48 ,	45 ,	76 ,	56 ,	44 ,	269
	8091 ,	5455 ,	70 ,	51 ,	35 ,	68 ,	45 ,	269
	8091 ,	10905 ,	49 ,	86 ,	31 ,	15 ,	88 ,	269
	8091 ,	8400 ,	68 ,	27 ,	55 ,	67 ,	52 ,	269
	8091 ,	5347 ,	42 ,	22 ,	86 ,	62 ,	57 ,	269
	8091 ,	5332 ,	37 ,	12 ,	96 ,	79 ,	45 ,	269
	8091 ,	10662 ,	51 ,	46 ,	42 ,	31 ,	99 ,	269
	8091 ,	4584 ,	15 ,	86 ,	99 ,	25 ,	44 ,	269
	8091 ,	10438 ,	55 ,	57 ,	52 ,	75 ,	30 ,	269
	8091 ,	5203 ,	27 ,	82 ,	34 ,	83 ,	43 ,	269
	8091 ,	10388 ,	59 ,	59 ,	82 ,	45 ,	24 ,	269
	8091 ,	2595 ,	53 ,	43 ,	99 ,	27 ,	47 ,	269
	8091 ,	5149 ,	58 ,	94 ,	51 ,	30 ,	36 ,	269
	8091 ,	5124 ,	79 ,	32 ,	28 ,	51 ,	79 ,	269
	8091 ,	15260 ,	51 ,	24 ,	72 ,	51 ,	71 ,	269
	8091 ,	10129 ,	15 ,	74 ,	99 ,	8 ,	73 ,	269
	8091 ,	1262 ,	16 ,	85 ,	67 ,	90 ,	11 ,	269
	8091 ,	19929 ,	100 ,	51 ,	34 ,	33 ,	51 ,	269
	8091 ,	19880 ,	8 ,	81 ,	40 ,	73 ,	67 ,	269
	8091 ,	4881 ,	44 ,	80 ,	60 ,	51 ,	34 ,	269
	8091 ,	19484 ,	73 ,	12 ,	20 ,	95 ,	69 ,	269
	8091 ,	981 ,	31 ,	67 ,	41 ,	96 ,	34 ,	269
	8091 ,	6990 ,	55 ,	6 ,	31 ,	94 ,	83 ,	269
	8091 ,	9672 ,	40 ,	84 ,	32 ,	77 ,	36 ,	269
	8091 ,	18932 ,	26 ,	51 ,	63 ,	69 ,	60 ,	269
	8091 ,	19292 ,	41 ,	50 ,	20 ,	72 ,	86 ,	269
	8091 ,	19194 ,	51 ,	45 ,	72 ,	84 ,	17 ,	269
	8091 ,	19091 ,	45 ,	89 ,	14 ,	47 ,	74 ,	269
	8091 ,	2348 ,	82 ,	51 ,	48 ,	67 ,	21 ,	269
	8091 ,	6196 ,	44 ,	76 ,	66 ,	28 ,	55 ,	269
	8091 ,	18609 ,	48 ,	30 ,	55 ,	40 ,	96 ,	269
	8091 ,	15701 ,	63 ,	73 ,	42 ,	39 ,	52 ,	269
	8091 ,	4501 ,	65 ,	54 ,	12 ,	86 ,	52 ,	269
	8091 ,	559 ,	76 ,	66 ,	91 ,	25 ,	11 ,	269
	8091 ,	18556 ,	91 ,	65 ,	14 ,	92 ,	7 ,	269
	8091 ,	17742 ,	47 ,	40 ,	90 ,	23 ,	69 ,	269
	8091 ,	1899 ,	72 ,	52 ,	40 ,	8 ,	97 ,	269
	8091 ,	9903 ,	17 ,	94 ,	70 ,	84 ,	4 ,	269
	8091 ,	18637 ,	3 ,	88 ,	28 ,	94 ,	56 ,	269
	8091 ,	4384 ,	86 ,	97 ,	0 ,	35 ,	51 ,	269
	8091 ,	546 ,	100 ,	15 ,	84 ,	70 ,	0 ,	269
	8091 ,	15474 ,	40 ,	53 ,	56 ,	99 ,	21 ,	269
	8091 ,	1089 ,	7 ,	84 ,	79 ,	46 ,	53 ,	269
	8091 ,	16819 ,	0 ,	73 ,	90 ,	89 ,	17 ,	269
	8091 ,	17399 ,	46 ,	60 ,	72 ,	49 ,	42 ,	269
	8091 ,	8601 ,	75 ,	46 ,	65 ,	27 ,	56 ,	269
	8091 ,	8581 ,	8 ,	65 ,	59 ,	37 ,	100 ,	269
	8091 ,	15685 ,	46 ,	53 ,	71 ,	75 ,	24 ,	269
	8091 ,	11242 ,	41 ,	69 ,	87 ,	27 ,	45 ,	269
	8091 ,	18364 ,	62 ,	36 ,	8 ,	63 ,	100 ,	269
	8091 ,	4233 ,	12 ,	29 ,	95 ,	92 ,	41 ,	269
	8091 ,	8454 ,	34 ,	34 ,	56 ,	81 ,	64 ,	269
	8091 ,	16885 ,	31 ,	77 ,	83 ,	64 ,	14 ,	269
	8091 ,	8416 ,	63 ,	58 ,	47 ,	91 ,	10 ,	269
	8091 ,	16605 ,	77 ,	87 ,	28 ,	76 ,	1 ,	269
	8091 ,	420 ,	75 ,	39 ,	75 ,	67 ,	13 ,	269
	8091 ,	924 ,	53 ,	46 ,	92 ,	69 ,	9 ,	269
	8223 ,	16300 ,	92 ,	14 ,	62 ,	73 ,	27 ,	268
	8223 ,	16266 ,	12 ,	21 ,	97 ,	46 ,	92 ,	268
	8223 ,	9972 ,	54 ,	13 ,	51 ,	84 ,	66 ,	268
	8223 ,	15941 ,	63 ,	60 ,	47 ,	3 ,	95 ,	268
	8223 ,	8862 ,	30 ,	90 ,	69 ,	37 ,	42 ,	268
	8223 ,	7853 ,	33 ,	32 ,	40 ,	81 ,	82 ,	268
	8223 ,	1934 ,	64 ,	91 ,	26 ,	8 ,	79 ,	268
	8223 ,	1107 ,	60 ,	28 ,	53 ,	43 ,	84 ,	268
	8223 ,	7649 ,	42 ,	34 ,	97 ,	68 ,	27 ,	268
	8223 ,	3824 ,	38 ,	20 ,	78 ,	79 ,	53 ,	268
	8223 ,	15250 ,	41 ,	24 ,	55 ,	94 ,	54 ,	268
	8223 ,	19566 ,	65 ,	25 ,	96 ,	73 ,	9 ,	268
	8223 ,	15174 ,	67 ,	83 ,	34 ,	44 ,	40 ,	268
	8223 ,	14907 ,	74 ,	81 ,	12 ,	75 ,	26 ,	268
	8223 ,	7408 ,	10 ,	86 ,	70 ,	21 ,	81 ,	268
	8223 ,	7394 ,	3 ,	100 ,	31 ,	78 ,	56 ,	268
	8223 ,	7325 ,	36 ,	78 ,	76 ,	38 ,	40 ,	268
	8223 ,	7283 ,	28 ,	66 ,	92 ,	59 ,	23 ,	268
	8223 ,	14497 ,	47 ,	21 ,	63 ,	45 ,	92 ,	268
	8223 ,	4872 ,	38 ,	8 ,	77 ,	100 ,	45 ,	268
	8223 ,	14384 ,	56 ,	65 ,	76 ,	47 ,	24 ,	268
	8223 ,	7172 ,	31 ,	26 ,	61 ,	83 ,	67 ,	268
	8223 ,	13894 ,	6 ,	42 ,	74 ,	60 ,	86 ,	268
	8223 ,	1731 ,	26 ,	67 ,	46 ,	64 ,	65 ,	268
	8223 ,	16159 ,	19 ,	14 ,	89 ,	91 ,	55 ,	268
	8223 ,	13654 ,	72 ,	11 ,	41 ,	94 ,	50 ,	268
	8223 ,	6809 ,	27 ,	52 ,	67 ,	28 ,	94 ,	268
	8223 ,	3402 ,	28 ,	26 ,	46 ,	90 ,	78 ,	268
	8223 ,	6724 ,	100 ,	87 ,	8 ,	36 ,	37 ,	268
	8223 ,	13436 ,	24 ,	19 ,	81 ,	66 ,	78 ,	268
	8223 ,	13424 ,	73 ,	26 ,	22 ,	66 ,	81 ,	268
	8223 ,	13335 ,	56 ,	41 ,	16 ,	82 ,	73 ,	268
	8223 ,	1663 ,	57 ,	46 ,	50 ,	50 ,	65 ,	268
	8223 ,	13209 ,	77 ,	58 ,	61 ,	12 ,	60 ,	268
	8223 ,	13188 ,	88 ,	31 ,	36 ,	95 ,	18 ,	268
	8223 ,	12976 ,	56 ,	39 ,	55 ,	89 ,	29 ,	268
	8223 ,	8893 ,	53 ,	16 ,	88 ,	96 ,	15 ,	268
	8223 ,	1194 ,	39 ,	73 ,	70 ,	70 ,	16 ,	268
	8223 ,	6350 ,	56 ,	66 ,	53 ,	17 ,	76 ,	268
	8223 ,	3170 ,	37 ,	58 ,	56 ,	26 ,	91 ,	268
	8223 ,	11961 ,	10 ,	35 ,	74 ,	99 ,	50 ,	268
	8223 ,	788 ,	83 ,	91 ,	11 ,	65 ,	18 ,	268
	8223 ,	19626 ,	66 ,	37 ,	94 ,	52 ,	19 ,	268
	8223 ,	12486 ,	77 ,	8 ,	55 ,	75 ,	53 ,	268
	8223 ,	3111 ,	20 ,	77 ,	84 ,	44 ,	43 ,	268
	8223 ,	3066 ,	27 ,	71 ,	23 ,	92 ,	55 ,	268
	8223 ,	3064 ,	64 ,	79 ,	45 ,	56 ,	24 ,	268
	8223 ,	12127 ,	50 ,	80 ,	72 ,	25 ,	41 ,	268
	8223 ,	12122 ,	41 ,	15 ,	84 ,	55 ,	73 ,	268
	8223 ,	3022 ,	3 ,	29 ,	97 ,	99 ,	40 ,	268
	8223 ,	3015 ,	50 ,	57 ,	89 ,	71 ,	1 ,	268
	8223 ,	6026 ,	37 ,	42 ,	80 ,	17 ,	92 ,	268
	8223 ,	11914 ,	16 ,	45 ,	59 ,	88 ,	60 ,	268
	8223 ,	4320 ,	59 ,	76 ,	6 ,	71 ,	56 ,	268
	8223 ,	11828 ,	86 ,	15 ,	23 ,	53 ,	91 ,	268
	8223 ,	5905 ,	96 ,	58 ,	4 ,	39 ,	71 ,	268
	8223 ,	2944 ,	39 ,	79 ,	98 ,	36 ,	16 ,	268
	8223 ,	18113 ,	51 ,	49 ,	62 ,	45 ,	61 ,	268
	8223 ,	1457 ,	82 ,	23 ,	55 ,	67 ,	41 ,	268
	8223 ,	8710 ,	42 ,	78 ,	97 ,	3 ,	48 ,	268
	8223 ,	11452 ,	65 ,	68 ,	16 ,	38 ,	81 ,	268
	8223 ,	5721 ,	64 ,	84 ,	85 ,	24 ,	11 ,	268
	8223 ,	11418 ,	15 ,	51 ,	66 ,	36 ,	100 ,	268
	8223 ,	11278 ,	91 ,	6 ,	77 ,	19 ,	75 ,	268
	8223 ,	11198 ,	17 ,	67 ,	27 ,	89 ,	68 ,	268
	8223 ,	9257 ,	35 ,	13 ,	70 ,	99 ,	51 ,	268
	8223 ,	11019 ,	64 ,	48 ,	90 ,	42 ,	24 ,	268
	8223 ,	11008 ,	12 ,	100 ,	37 ,	33 ,	86 ,	268
	8223 ,	2710 ,	62 ,	24 ,	61 ,	47 ,	74 ,	268
	8223 ,	17564 ,	67 ,	36 ,	77 ,	18 ,	70 ,	268
	8223 ,	19451 ,	21 ,	62 ,	82 ,	20 ,	83 ,	268
	8223 ,	10716 ,	19 ,	57 ,	64 ,	58 ,	70 ,	268
	8223 ,	10613 ,	42 ,	71 ,	89 ,	46 ,	20 ,	268
	8223 ,	19362 ,	38 ,	68 ,	23 ,	56 ,	83 ,	268
	8223 ,	658 ,	14 ,	36 ,	73 ,	81 ,	64 ,	268
